pair_id,from_id,to_id,distance_nm,sea_time_h
P03__P29,P03,P29,146.90723381943457,10.493373844245326
P03__P30,P03,P30,15.569796773222004,1.112128340944429
P03__P31,P03,P31,63.68614204243198,4.549010145887999
P03__P32,P03,P32,839.8772580263583,59.99123271616845
P03__P33,P03,P33,1192.3240324274404,85.16600231624575
P03__P34,P03,P34,684.728683358077,48.90919166843407
P03__P35,P03,P35,852.2995470062343,60.87853907187388
P03__P36,P03,P36,926.6376675228184,66.18840482305846
P03__P37,P03,P37,160.26817867558836,11.447727048256311
P03__P38,P03,P38,1198.643048189081,85.61736058493435
P03__P39,P03,P39,1468.535878465626,104.89541989040185
P03__P40,P03,P40,1307.8291043734916,93.41636459810654
P04__P01,P04,P01,1552.8355462723569,110.91682473373977
P04__P02,P04,P02,984.952850605109,70.35377504322207
P04__P03,P04,P03,114.80310671474012,8.200221908195724
P04__P05,P04,P05,899.0443560968768,64.21745400691977
P04__P06,P04,P06,1139.3711945842297,81.3836567560164
P04__P07,P04,P07,1342.2439608684049,95.87456863345749
P04__P08,P04,P08,1093.4437603701033,78.10312574072167
P04__P09,P04,P09,219.88591812842097,15.706137009172926
P04__P10,P04,P10,623.6776380179816,44.54840271557011
P04__P11,P04,P11,1031.59167862167,73.68511990154786
P04__P12,P04,P12,1054.48485765854,75.32034697561001
P04__P13,P04,P13,1043.425747509442,74.53041053638871
P04__P14,P04,P14,1246.4291475858718,89.03065339899084
P04__P15,P04,P15,872.7095739728076,62.336398140914824
P04__P16,P04,P16,672.5849247260653,48.04178033757609
P04__P17,P04,P17,938.2338941471969,67.01670672479977
P04__P18,P04,P18,691.9471644950444,49.42479746393174
P04__P19,P04,P19,1203.993992333968,85.99957088099771
P04__P20,P04,P20,509.81206314932047,36.41514736780861
P04__P21,P04,P21,1600.652088360756,114.33229202576828
P04__P22,P04,P22,242.23642199792985,17.302601571280704
P04__P23,P04,P23,738.2514250005632,52.73224464289738
P04__P24,P04,P24,1150.7027605701835,82.19305432644168
P04__P25,P04,P25,1124.3203533005576,80.30859666432555
P04__P26,P04,P26,1609.0046402223454,114.92890287302467
P04__P27,P04,P27,1137.0714081155784,81.21938629396989
P04__P28,P04,P28,307.53756069572233,21.966968621123023
P04__P29,P04,P29,83.05392833913865,5.932423452795618
P04__P30,P04,P30,114.94638912605174,8.210456366146554
P04__P31,P04,P31,56.9229218936143,4.065922992401021
P04__P32,P04,P32,740.9969859690209,52.92835614064435
P04__P33,P04,P33,1093.4437603701033,78.10312574072167
P04__P34,P04,P34,585.8484113007396,41.84631509290997
P04__P35,P04,P35,753.4192749488969,53.81566249634978
P04__P36,P04,P36,827.7573954654808,59.12552824753435
P04__P37,P04,P37,45.46507196084823,3.247505140060588
P04__P38,P04,P38,1099.7627761317433,78.55448400941023
P04__P39,P04,P39,1369.6556064082883,97.83254331487774
P04__P40,P04,P40,1208.9488323161545,86.35348802258247
P05__P01,P05,P01,681.6391086709438,48.68850776221027
P05__P02,P05,P02,280.99968027173696,20.071405733695496
P05__P03,P05,P03,997.9246281542146,71.2803305824439
P05__P04,P05,P04,899.0443560968772,64.2174540069198
P05__P06,P05,P06,415.4403124482633,29.674308032018807
P05__P07,P05,P07,459.95698907397605,32.854070648141146
P05__P08,P05,P08,364.0073685473317,26.000526324809407
P05__P09,P05,P09,716.6469053431828,51.1890646673702
P05__P10,P05,P10,738.6072109964643,52.757657928318885
P05__P11,P05,P11,350.5532056671301,25.039514690509293
P05__P12,P05,P12,319.1324345474825,22.79517389624875
P05__P13,P05,P13,164.8210198348428,11.772929988203057
P05__P14,P05,P14,379.8027358070368,27.128766843359774
P05__P15,P05,P15,987.6391469512902,70.54565335366358
P05__P16,P05,P16,342.52702618145446,24.466216155818177
P05__P17,P05,P17,202.88147103613943,14.491533645438532
P05__P18,P05,P18,207.09719160183246,14.792656542988032
P05__P19,P05,P19,413.79139662917146,29.556528330655105
P05__P20,P05,P20,614.1721644024655,43.86944031446182
P05__P21,P05,P21,729.4556507593431,52.103975054238795
P05__P22,P05,P22,679.4671792927008,48.53336994947863
P05__P23,P05,P23,795.6887047760422,56.83490748400301
P05__P24,P05,P24,372.1534510144971,26.582389358178364
P05__P25,P05,P25,1147.5505625567114,81.96789732547938
P05__P26,P05,P26,737.8082026209327,52.70058590149519
P05__P27,P05,P27,1230.3745373389352,87.88389552420965
P05__P28,P05,P28,630.1535677625733,45.01096912589809
P05__P29,P05,P29,888.8265567932307,63.48761119951648
P05__P30,P05,P30,998.0679105655262,71.29056504039472
P05__P31,P05,P31,940.0444433330887,67.1460316666492
P05__P32,P05,P32,260.2055017959514,18.586107271139387
P05__P33,P05,P33,364.0073685473317,26.000526324809407
P05__P34,P05,P34,385.5684281240175,27.540602008858393
P05__P35,P05,P35,302.8310800108586,21.630791429347045
P05__P36,P05,P36,942.6869684439637,67.33478346028312
P05__P37,P05,P37,921.0046491472044,65.78604636765746
P05__P38,P05,P38,346.78894773321304,24.77063912380093
P05__P39,P05,P39,487.3686346138592,34.81204532956137
P05__P40,P05,P40,344.13741888215475,24.581244205868195
P06__P01,P06,P01,786.6726607956404,56.19090434254574
P06__P02,P06,P02,175.63907241420276,12.54564802958591
P06__P03,P06,P03,1238.2514666415673,88.44653333154052
P06__P04,P06,P04,1139.37119458423,81.38365675601642
P06__P05,P06,P05,415.44031244826334,29.67430803201881
P06__P07,P06,P07,494.8258918374634,35.34470655981882
P06__P08,P06,P08,75.76584530941429,5.411846093529592
P06__P09,P06,P09,956.9737438305356,68.35526741646683
P06__P10,P06,P10,978.9340494838171,69.9238606774155
P06__P11,P06,P11,148.1947310377021,10.585337931264435
P06__P12,P06,P12,157.0284537804731,11.216318127176649
P06__P13,P06,P13,257.95796622895017,18.425569016353585
P06__P14,P06,P14,337.28119455724425,24.09151389694602
P06__P15,P06,P15,1227.9659854386434,87.71185610276025
P06__P16,P06,P16,674.0906138430455,48.14932956021754
P06__P17,P06,P17,230.8753093268515,16.491093523346535
P06__P18,P06,P18,489.5337217621517,34.96669441158226
P06__P19,P06,P19,248.2237425884511,17.730267327746507
P06__P20,P06,P20,854.4990028898183,61.035643063558446
P06__P21,P06,P21,841.796337648028,60.128309832002
P06__P22,P06,P22,919.7940177800535,65.69957269857525
P06__P23,P06,P23,1036.015543263395,74.00111023309965
P06__P24,P06,P24,194.93251082466676,13.923750773190482
P06__P25,P06,P25,1409.909248342694,100.70780345304956
P06__P26,P06,P26,850.1488895096176,60.724920679258396
P06__P27,P06,P27,1470.7013758262879,105.05009827330628
P06__P28,P06,P28,870.4804062499261,62.17717187499472
P06__P29,P06,P29,1129.1533952805837,80.65381394861312
